"Date","Pressure_hPa","NetRadiation_Wm-2","RH_Perc","TA_degC","GroundHeatflux_Wm-2","P1_mm","P2_mm"
2021-06-25 00:00:00,990.214,-13.834,99.919,15.495,-7.22,0,0
2021-06-25 00:10:00,990.271,-14.378,99.85,15.395,-7.021,0,0
2021-06-25 00:20:00,990.284,-13.818,99.991,15.321,-6.873,0,0
2021-06-25 00:30:00,990.172,-13.911,99.968,15.322,-6.774,0,0.1
2021-06-25 00:40:00,990.083,-15.61,99.957,15.229,-6.687,0,0
2021-06-25 00:50:00,990.125,-14.364,99.994,15.278,-6.675,0,0
2021-06-25 01:00:00,990.143,-14.497,100,15.268,-6.677,0,0
2021-06-25 01:10:00,990.133,-15.729,100,15.183,-6.681,0,0
2021-06-25 01:20:00,990.161,-14.844,100,15.157,-6.694,0,0
2021-06-25 01:30:00,990.155,-14.476,100,15.109,-6.717,0.1,0
2021-06-25 01:40:00,990.125,-14.392,100,15.101,-6.76,0,0
2021-06-25 01:50:00,990.147,-13.977,100,15.105,-6.794,0,0
2021-06-25 02:00:00,990.156,-12.693,100,15.109,-6.852,0,0
2021-06-25 02:10:00,990.094,-12.081,100,15.101,-6.85,0,0.1
2021-06-25 02:20:00,990.04,-13.184,100,15.048,-6.82,0.1,0.1
2021-06-25 02:30:00,990.039,-14.28,100,14.849,-6.848,0.1,0
2021-06-25 02:40:00,990.053,-14.301,100,14.757,-6.929,0,0.1
2021-06-25 02:50:00,989.994,-12.92,100,14.794,-7.036,0,0
2021-06-25 03:00:00,989.916,-14.014,100,14.763,-7.093,0,0
2021-06-25 03:10:00,989.872,-13.971,100,14.711,-7.151,0,0
2021-06-25 03:20:00,989.876,-14.999,100,14.679,-7.177,0,0
2021-06-25 03:30:00,989.785,-16.58,100,14.71,-7.221,0,0
2021-06-25 03:40:00,989.74,-13.424,100,14.664,-7.282,0,0
2021-06-25 03:50:00,989.749,-12.059,100,14.68,-7.354,0,0
2021-06-25 04:00:00,989.72,-12.168,100,14.644,-7.343,0.1,0
2021-06-25 04:10:00,989.625,-13.319,100,14.545,-7.31,0.1,0.1
2021-06-25 04:20:00,989.642,-13.789,100,14.444,-7.34,0,0.1
2021-06-25 04:30:00,989.659,-11.603,100,14.434,-7.382,0.1,0
2021-06-25 04:40:00,989.652,-7.244,100,14.506,-7.412,0,0
2021-06-25 04:50:00,989.582,-6.011,100,14.54,-7.354,0,0
2021-06-25 05:00:00,989.549,-6.556,100,14.464,-7.299,0,0
2021-06-25 05:10:00,989.512,-5.923,100,14.424,-7.281,0,0
2021-06-25 05:20:00,989.507,-5.134,100,14.477,-7.325,0,0
2021-06-25 05:30:00,989.431,-6.98,100,14.479,-7.179,0,0
2021-06-25 05:40:00,989.323,-2.538,100,14.428,-6.955,0,0
2021-06-25 05:50:00,989.286,6.109,100,14.524,-6.727,0.1,0.1
