Date,Pyrgeometer_Temp_degC,SW_IN_W_m-2,SW_OUT_W_m-2,LW_IN_W_m-2,LW_OUT_W_m-2,T_soil_2cm_degC
2020-01-09 00:00:00,6.827,0.063,0.493,-0.808,-2.398,4.418
2020-01-09 00:10:00,6.838,0.135,0.617,-0.798,-2.222,4.428
2020-01-09 00:20:00,6.9,0.14,0.767,-1.028,-1.941,4.433
2020-01-09 00:30:00,6.96,0.19,0.676,-1.013,-2.064,4.439
2020-01-09 00:40:00,6.986,0.119,0.604,-0.969,-2.373,4.445
2020-01-09 00:50:00,7.01,0.191,0.76,-0.768,-2.185,4.452
2020-01-09 01:00:00,7.046,0.222,0.727,-0.784,-2.262,4.461
2020-01-09 01:10:00,7.054,0.14,0.494,-1.049,-2.473,4.471
2020-01-09 01:20:00,7.074,0.253,0.6,-0.89,-2.318,4.477
2020-01-09 01:30:00,7.126,0.166,0.673,-1.159,-2.106,4.487
2020-01-09 01:40:00,7.139,0.069,0.595,-1.486,-2.25,4.496
2020-01-09 01:50:00,7.167,0.155,0.742,-1.174,-2.086,4.505
2020-01-09 02:00:00,7.193,0.101,0.742,-1.11,-2.184,4.514
2020-01-09 02:10:00,7.211,0.06,0.689,-1.375,-2.24,4.522
2020-01-09 02:20:00,7.221,0.009,0.717,-1.761,-2.258,4.533
2020-01-09 02:30:00,7.226,-0.001,0.596,-2.14,-2.122,4.543
2020-01-09 02:40:00,7.239,-0.064,0.432,-2.698,-2.134,4.551
2020-01-09 02:50:00,7.211,-0.077,0.408,-3.181,-2.287,4.565
2020-01-09 03:00:00,7.201,-0.027,0.426,-4.042,-2.426,4.578
2020-01-09 03:10:00,7.173,-0.135,0.486,-4.438,-2.487,4.588
2020-01-09 03:20:00,7.145,-0.138,0.552,-5.045,-2.531,4.596
2020-01-09 03:30:00,7.127,0.01,0.496,-3.817,-2.545,4.611
2020-01-09 03:40:00,7.149,0.07,0.512,-2.459,-2.332,4.619
2020-01-09 03:50:00,7.175,0.058,0.551,-1.918,-1.947,4.628
2020-01-09 04:00:00,7.195,-0.043,0.506,-2.348,-2.055,4.636
2020-01-09 04:10:00,7.162,-0.11,0.363,-2.546,-2.244,4.646
2020-01-09 04:20:00,7.133,-0.066,0.427,-2.369,-2.209,4.654
2020-01-09 04:30:00,7.129,0.045,0.491,-1.549,-2.032,4.659
2020-01-09 04:40:00,7.174,0.069,0.563,-1.212,-1.888,4.668
2020-01-09 04:50:00,7.171,0.079,0.47,-1.119,-2.053,4.674
2020-01-09 05:00:00,7.184,0.094,0.592,-1.175,-1.919,4.684
2020-01-09 05:10:00,7.179,-0.029,0.584,-2.742,-2.07,4.69
2020-01-09 05:20:00,7.146,-0.044,0.415,-2.548,-2.409,4.699
2020-01-09 05:30:00,7.109,-0.063,0.486,-5.085,-2.477,4.708
2020-01-09 05:40:00,7.109,0.082,0.614,-3.382,-2.126,4.717
2020-01-09 05:50:00,7.154,-0.008,0.723,-6.636,-2.193,4.725
2020-01-09 06:00:00,7.159,-0.289,0.739,-11.623,-2.816,4.735
2020-01-09 06:10:00,7.108,-0.247,0.723,-10.796,-3.032,4.74
2020-01-09 06:20:00,7.136,-0.08,0.867,-10.82,-2.848,4.748
2020-01-09 06:30:00,7.174,0.063,0.719,-7.237,-2.714,4.751
2020-01-09 06:40:00,7.232,0.4,0.772,-3.931,-2.503,4.756
2020-01-09 06:50:00,7.354,0.492,0.683,-1.938,-2.106,4.759
2020-01-09 07:00:00,7.397,0.309,0.383,-1.955,-2.212,4.766
2020-01-09 07:10:00,7.406,0.244,0.455,-4.695,-2.169,4.772
2020-01-09 07:20:00,7.478,0.099,0.7,-11.576,-2.458,4.777
2020-01-09 07:30:00,7.536,0.094,0.733,-10.547,-2.579,4.784
2020-01-09 07:40:00,7.716,0.273,0.848,-11.57,-2.4,4.788
2020-01-09 07:50:00,7.784,0,0.628,-9.648,-2.767,4.801
2020-01-09 08:00:00,7.811,-0.247,0.718,-7.128,-2.428,4.808
2020-01-09 08:10:00,7.786,-0.184,0.743,-5.672,-2.421,4.817
2020-01-09 08:20:00,7.777,0.128,0.809,-7.043,-2.44,4.825
2020-01-09 08:30:00,7.763,1.463,0.99,-8.097,-2.653,4.836
2020-01-09 08:40:00,7.755,4.506,1.556,-12.938,-2.827,4.843
2020-01-09 08:50:00,7.821,8.41,2.215,-8.573,-2.452,4.848
2020-01-09 09:00:00,7.846,9.81,2.124,-7.093,-2.348,4.857
2020-01-09 09:10:00,7.919,24.165,4.672,-7.956,-1.644,4.864
2020-01-09 09:20:00,7.994,22.837,4.272,-10.183,-1.715,4.872
2020-01-09 09:30:00,8,12.976,2.62,-7.733,-1.923,4.877
2020-01-09 09:40:00,8.036,16.021,2.96,-7.494,-1.88,4.885
