"Date","TA_44m","TA_40m","TA_32m","TA_20m","TA_10m","TA_2m","Tsoil_002m_degC"
2019-01-01 00:00:00,5.59,5.48,5.54,5.63,5.71,NA,4.83516666666667
2019-01-01 00:30:00,NA,NA,NA,NA,NA,NA,4.8295
2019-01-01 01:00:00,5.29,5.23,5.25,5.4,5.51,5.35,4.82066666666667
2019-01-01 01:30:00,5.18,5.08,5.15,5.28,5.4,5.17,4.8065
2019-01-01 02:00:00,5.13,5.03,5.14,5.25,5.35,5.13,4.77266666666667
2019-01-01 02:30:00,5.1,4.99,5.11,5.23,5.35,5.13,4.7415
2019-01-01 03:00:00,5.03,4.86,5.06,5.14,5.27,5.11,4.73366666666667
2019-01-01 03:30:00,5.18,4.93,5.24,5.32,5.44,5.24,4.74016666666667
2019-01-01 04:00:00,5.2,5,5.26,5.34,5.46,5.24,4.75033333333333
2019-01-01 04:30:00,5.26,4.9,5.31,5.34,5.46,5.31,4.75683333333333
2019-01-01 05:00:00,5.14,4.8,5.18,5.2,5.32,5.28,4.76116666666667
2019-01-01 05:30:00,5.09,4.81,5.12,5.13,5.23,5.25,4.767
2019-01-01 06:00:00,5.05,4.77,5.06,5.1,5.19,5.2,4.77383333333333
2019-01-01 06:30:00,5.05,4.73,5.04,5.12,5.2,5.18,4.77783333333333
2019-01-01 07:00:00,5.08,4.77,5.09,5.19,5.26,5.16,4.77833333333333
2019-01-01 07:30:00,5.06,4.49,5.05,5.08,5.19,5.07,4.768
2019-01-01 08:00:00,4.87,4.39,4.85,4.93,5.04,4.9,4.75616666666667
2019-01-01 08:30:00,4.79,4.11,4.8,4.84,4.96,4.89,4.73883333333333
2019-01-01 09:00:00,4.52,3.98,4.54,4.57,4.69,4.75,4.7215
2019-01-01 09:30:00,4.37,3.93,4.39,4.44,4.56,4.64,4.70866666666667
2019-01-01 10:00:00,4.3,3.87,4.32,4.35,4.48,4.58,4.69716666666667
2019-01-01 10:30:00,4.28,3.91,4.29,4.3,4.43,4.55,4.6945
2019-01-01 11:00:00,4.28,3.99,4.29,4.3,4.42,4.56,4.69866666666667
2019-01-01 11:30:00,4.33,4.08,4.36,4.36,4.47,4.62,4.709
2019-01-01 12:00:00,4.38,4.17,4.41,4.41,4.5,4.68,4.72466666666667
2019-01-01 12:30:00,4.39,4.21,4.42,4.43,4.52,4.69,4.74616666666667
2019-01-01 13:00:00,4.42,4.27,4.46,4.46,4.55,4.7,4.763
2019-01-01 13:30:00,4.49,4.34,4.54,4.54,4.63,4.75,4.777
2019-01-01 14:00:00,4.57,4.45,4.63,4.63,4.71,4.82,4.7835
2019-01-01 14:30:00,4.66,4.54,4.66,4.69,4.76,4.86,4.78766666666667
2019-01-01 15:00:00,4.66,4.45,4.65,4.69,4.75,4.83,4.7915
2019-01-01 15:30:00,4.6,4.25,4.48,4.57,4.62,4.67,4.79016666666667
2019-01-01 16:00:00,4.31,4.01,4.04,4.2,4.2,4.2,4.77166666666667
2019-01-01 16:30:00,3.88,3.47,3.48,3.75,3.58,3.53,4.717
2019-01-01 17:00:00,3.57,3.02,3.2,3.52,3.16,3,4.60983333333333
2019-01-01 17:30:00,3.38,2.84,3.23,3.45,3.27,2.85,4.48583333333333
2019-01-01 18:00:00,3.18,2.4,3.14,3.22,3.27,2.85,4.40333333333333
2019-01-01 18:30:00,2.23,1.72,2.15,2.17,2.26,2.23,4.35033333333333
2019-01-01 19:00:00,1.95,1.49,1.83,1.88,1.91,1.92,4.28916666666667
2019-01-01 19:30:00,1.68,1.2,1.51,1.6,1.57,1.57,4.2115
2019-01-01 20:00:00,1.17,0.67,1.07,1.13,1.14,1.19,4.119
2019-01-01 20:30:00,1.3,0.78,1.13,1.19,1.11,0.91,4.01833333333333
2019-01-01 21:00:00,1.57,1.06,1.42,1.57,1.59,1.19,3.917
2019-01-01 21:30:00,1.58,0.96,1.42,1.6,1.68,1.13,3.8365
2019-01-01 22:00:00,1.46,0.81,1.4,1.47,1.56,1.02,3.74133333333333
2019-01-01 22:30:00,1.25,0.7,1.26,1.29,1.38,0.99,3.64383333333333
2019-01-01 23:00:00,1.02,0.55,1.07,1.1,1.2,0.93,3.5675
2019-01-01 23:30:00,1.22,0.66,1.28,1.31,1.4,1.14,3.513
2019-01-02 00:00:00,1.11,0.68,1.14,1.19,1.28,1.16,3.46366666666667
2019-01-02 00:30:00,0.74,0.49,0.74,0.78,0.87,0.82,3.3895
2019-01-02 01:00:00,0.67,0.49,0.72,0.76,0.84,0.78,3.32633333333333
2019-01-02 01:30:00,0.75,0.41,0.77,0.85,0.94,0.88,3.27416666666667
2019-01-02 02:00:00,0.64,0.39,0.65,0.71,0.82,0.8,3.22966666666667
2019-01-02 02:30:00,0.63,0.29,0.62,0.7,0.81,0.81,3.19366666666667
2019-01-02 03:00:00,0.69,0.35,0.69,0.78,0.87,0.81,3.15733333333333
2019-01-02 03:30:00,0.77,0.52,0.8,0.86,0.94,0.88,3.1235
2019-01-02 04:00:00,0.98,0.83,1.04,1.07,1.16,1.06,3.093
2019-01-02 04:30:00,0.98,0.82,1.01,1.05,1.14,1.07,3.06666666666667
2019-01-02 05:00:00,0.96,0.84,0.98,1.02,1.13,1.05,3.04216666666667
2019-01-02 05:30:00,0.87,0.75,0.89,0.94,1.05,0.98,3.01833333333333
2019-01-02 06:00:00,0.9,0.75,0.86,0.9,0.99,0.88,2.9935
2019-01-02 06:30:00,1.02,0.87,0.97,1.02,1.11,0.96,2.96533333333333
2019-01-02 07:00:00,0.93,0.79,0.88,0.94,1.03,0.84,2.93866666666667
2019-01-02 07:30:00,0.81,0.61,0.71,0.79,0.88,0.69,2.915
2019-01-02 08:00:00,0.72,0.56,0.66,0.71,0.79,0.64,2.89083333333333
2019-01-02 08:30:00,0.7,0.61,0.71,0.74,0.84,0.74,2.87033333333333
2019-01-02 09:00:00,0.89,0.88,0.94,0.94,1.02,0.91,2.85566666666667
2019-01-02 09:30:00,1.14,1.22,1.25,1.24,1.34,1.22,2.85083333333333
2019-01-02 10:00:00,1.26,1.62,1.46,1.37,1.47,1.42,2.8565
2019-01-02 10:30:00,1.28,1.92,1.52,1.39,1.5,1.5,2.877
2019-01-02 11:00:00,1.01,1.58,1.23,1.13,1.26,1.28,2.89433333333333
2019-01-02 11:30:00,0.88,1.6,1.12,0.99,1.1,1.16,2.89583333333333
2019-01-02 12:00:00,0.79,1.39,1,0.9,1.01,1.06,2.8895
2019-01-02 12:30:00,0.78,1.49,0.96,0.86,0.96,0.98,2.86716666666667
2019-01-02 13:00:00,0.67,1.21,0.82,0.74,0.84,0.84,2.83116666666667
2019-01-02 13:30:00,0.65,1.44,0.87,0.76,0.85,0.81,2.79966666666667
2019-01-02 14:00:00,0.73,2.25,0.85,0.75,0.85,0.81,2.77283333333333
2019-01-02 14:30:00,0.65,2.58,0.67,0.61,0.7,0.58,2.74016666666667
2019-01-02 15:00:00,0.49,1.65,0.52,0.51,0.61,0.51,2.70066666666667
2019-01-02 15:30:00,0.36,1,0.42,0.43,0.54,0.49,2.66433333333333
2019-01-02 16:00:00,0.12,0.15,0.13,0.18,0.3,0.23,2.63066666666667
2019-01-02 16:30:00,-0.09,-0.16,-0.12,-0.04,0.08,0.02,2.59666666666667
2019-01-02 17:00:00,-0.34,-0.4,-0.32,-0.26,-0.15,-0.21,2.55666666666667
2019-01-02 17:30:00,-0.32,-0.37,-0.29,-0.24,-0.12,-0.15,2.52066666666667
2019-01-02 18:00:00,-0.41,-0.46,-0.38,-0.32,-0.21,-0.24,2.48433333333333
2019-01-02 18:30:00,-0.39,-0.45,-0.35,-0.29,-0.17,-0.18,2.4475
2019-01-02 19:00:00,-0.48,-0.55,-0.46,-0.4,-0.28,-0.29,2.41533333333333
2019-01-02 19:30:00,-0.61,-0.66,-0.58,-0.52,-0.4,-0.42,2.39066666666667
2019-01-02 20:00:00,-0.73,-0.76,-0.68,-0.62,-0.5,-0.48,2.36516666666667
2019-01-02 20:30:00,-0.86,-0.89,-0.81,-0.75,-0.62,-0.59,2.33783333333333
2019-01-02 21:00:00,-1.02,-1.1,-1,-0.93,-0.79,-0.73,2.3115
2019-01-02 21:30:00,-1.2,-1.27,-1.17,-1.1,-0.96,-0.91,2.2875
2019-01-02 22:00:00,-1.46,-1.58,-1.49,-1.39,-1.25,-1.28,2.26433333333333
2019-01-02 22:30:00,-1.76,-1.93,-1.83,-1.73,-1.63,-1.79,2.23283333333333
2019-01-02 23:00:00,-1.89,-2.06,-1.95,-1.84,-1.74,-1.88,2.1945
2019-01-02 23:30:00,-1.98,-2.15,-2.05,-1.93,-1.82,-1.97,2.15366666666667
2019-01-03 00:00:00,-2.08,-2.3,-2.15,-2.02,-1.91,-2.09,2.11233333333333
2019-01-03 00:30:00,-2.08,-2.33,-2.18,-2.05,-1.96,-2.25,2.069
2019-01-03 01:00:00,-2.11,-2.4,-2.24,-2.12,-2.04,-2.38,2.02516666666667
2019-01-03 01:30:00,-2.19,-2.52,-2.35,-2.24,-2.2,-2.56,1.98116666666667
2019-01-03 02:00:00,-2.41,-2.75,-2.6,-2.48,-2.41,-2.77,1.93766666666667
2019-01-03 02:30:00,-2.57,-2.88,-2.73,-2.62,-2.56,-2.92,1.89333333333333
2019-01-03 03:00:00,-2.68,-2.97,-2.87,-2.77,-2.72,-3.03,1.85166666666667
2019-01-03 03:30:00,-2.96,-3.17,-3.07,-2.97,-2.9,-3.08,1.80816666666667
