"Date","TA_degC","RH_Perc","PA_hPa"
2018-01-01 00:00:00,9.2617,68.5,943
2018-01-01 00:30:00,9.045,70.3533,943
2018-01-01 01:00:00,8.5483,77.2533,943
2018-01-01 01:30:00,9.0083,73.9567,943
2018-01-01 02:00:00,8.7417,76.48,943
2018-01-01 02:30:00,7.9765,84.8233,943.6667
2018-01-01 03:00:00,7.3507,94.9,944
2018-01-01 03:30:00,7.1647,95.7333,944
2018-01-01 04:00:00,7.1207,84.0467,944
2018-01-01 04:30:00,6.2778,83.7433,944.6667
2018-01-01 05:00:00,5.1663,95.5333,944.6667
2018-01-01 05:30:00,5.9433,81.7267,945
2018-01-01 06:00:00,6.1832,72.0567,945
2018-01-01 06:30:00,5.9358,74.2833,945
2018-01-01 07:00:00,4.2633,83.2667,946
2018-01-01 07:30:00,3.916,90.7333,946
2018-01-01 08:00:00,4.5392,81.72,946.6667
2018-01-01 08:30:00,5.0003,73.3733,947
2018-01-01 09:00:00,5.077,72.5067,947.3333
2018-01-01 09:30:00,5.0812,72.6433,948
2018-01-01 10:00:00,4.9448,73.3967,948
2018-01-01 10:30:00,4.7785,76.7133,948
2018-01-01 11:00:00,3.7567,90.9667,948
2018-01-01 11:30:00,4.0535,88.5,948
2018-01-01 12:00:00,3.9958,90.6667,948
2018-01-01 12:30:00,4.5338,78.2867,947.3333
2018-01-01 13:00:00,4.7852,72.8967,947
2018-01-01 13:30:00,5.0812,70.6367,946.3333
2018-01-01 14:00:00,5.305,67.2733,946
2018-01-01 14:30:00,5.1188,67.66,945
2018-01-01 15:00:00,4.987,67.97,945
2018-01-01 15:30:00,4.9117,67.67,945
2018-01-01 16:00:00,4.3568,71.2733,945
2018-01-01 16:30:00,3.9845,72.98,945
2018-01-01 17:00:00,3.857,72.69,944.3333
2018-01-01 17:30:00,4.0457,71.24,944
2018-01-01 18:00:00,4.2627,69.25,944
2018-01-01 18:30:00,4.5228,68.1433,943
2018-01-01 19:00:00,4.3722,70.5933,943
2018-01-01 19:30:00,3.9507,74.5767,943
2018-01-01 20:00:00,3.6332,77.8467,943
2018-01-01 20:30:00,2.8965,91.2,942
2018-01-01 21:00:00,2.7757,95.7333,942
2018-01-01 21:30:00,2.6343,96.5,942
2018-01-01 22:00:00,2.5185,97.6333,941.3333
2018-01-01 22:30:00,2.507,97.7667,941
2018-01-01 23:00:00,2.514,97.7333,941
2018-01-01 23:30:00,2.5082,98.1667,941
2018-01-02 00:00:00,2.5893,99.3333,941
2018-01-02 00:30:00,2.7903,99.9333,941
2018-01-02 01:00:00,2.9773,100,941
2018-01-02 01:30:00,2.907,100,942
2018-01-02 02:00:00,2.7755,100,942.3333
2018-01-02 02:30:00,2.1903,100,943
2018-01-02 03:00:00,1.6935,100,943.3333
2018-01-02 03:30:00,1.4507,100,944
2018-01-02 04:00:00,1.2648,100,944
2018-01-02 04:30:00,0.987,100,944.6667
2018-01-02 05:00:00,0.8188,100,945
2018-01-02 05:30:00,0.7485,100,946
2018-01-02 06:00:00,0.6262,100,946.6667
2018-01-02 06:30:00,0.462,100,947.3333
2018-01-02 07:00:00,0.4023,100,948
2018-01-02 07:30:00,0.6088,100,948.6667
2018-01-02 08:00:00,0.8385,100,949
2018-01-02 08:30:00,1.194,100,950
2018-01-02 09:00:00,1.4113,100,950.3333
2018-01-02 09:30:00,1.5727,100,951
2018-01-02 10:00:00,1.7245,100,951
2018-01-02 10:30:00,1.9227,100,952
2018-01-02 11:00:00,2.175,100,952
2018-01-02 11:30:00,2.354,100,952.3333
2018-01-02 12:00:00,2.5505,100,953
2018-01-02 12:30:00,2.7607,100,953
2018-01-02 13:00:00,2.8472,99.2,953
2018-01-02 13:30:00,2.8648,97.5,953
2018-01-02 14:00:00,2.8237,98.3333,953
