"Date","TA_degC","RH_Perc","PA_hPa"
2020-07-01 00:00:00,16.2033,59.81,950.2567
2020-07-01 00:30:00,16.2767,60.9267,950.2467
2020-07-01 01:00:00,16.18,63.0967,950.2367
2020-07-01 01:30:00,15.97,65.21,950.25
2020-07-01 02:00:00,15.9167,66.5367,949.99
2020-07-01 02:30:00,15.7867,67.9267,949.8767
2020-07-01 03:00:00,15.5633,70.0167,949.73
2020-07-01 03:30:00,15.4667,71.5667,949.64
2020-07-01 04:00:00,15.43,72.8,949.6233
2020-07-01 04:30:00,15.4133,74.0333,949.5967
2020-07-01 05:00:00,15.2167,75.8667,949.4767
2020-07-01 05:30:00,15.23,76,949.5533
2020-07-01 06:00:00,15.23,76.1667,949.59
2020-07-01 06:30:00,15.0133,77.8333,949.5467
2020-07-01 07:00:00,15.43,76.8,949.6433
2020-07-01 07:30:00,15.9267,74.8667,949.8033
2020-07-01 08:00:00,16.21,74.8333,949.85
2020-07-01 08:30:00,16.92,72.9667,949.8067
2020-07-01 09:00:00,16.54,75.1667,949.8667
2020-07-01 09:30:00,16.78,75.5,949.9033
2020-07-01 10:00:00,17.29,74.7,949.82
2020-07-01 10:30:00,17.9867,72.3667,949.7133
2020-07-01 11:00:00,18.5933,70.6667,949.6733
2020-07-01 11:30:00,19.02,69.8867,949.63
2020-07-01 12:00:00,19.7167,66.7667,949.65
2020-07-01 12:30:00,19.1633,69.1033,949.7867
2020-07-01 13:00:00,19.0833,69.89,949.8233
2020-07-01 13:30:00,20.1567,67.3667,949.7233
2020-07-01 14:00:00,20.3733,66.2333,949.5867
2020-07-01 14:30:00,21.03,63.3533,949.3533
2020-07-01 15:00:00,21.5667,61.2333,949.09
2020-07-01 15:30:00,22.2933,58.0767,949.01
2020-07-01 16:00:00,22.56,56.62,948.94
2020-07-01 16:30:00,22.4333,57.1767,948.75
2020-07-01 17:00:00,22.75,55.98,948.4333
2020-07-01 17:30:00,22.47,57.5567,948.2867
2020-07-01 18:00:00,22.3933,57.88,948.3467
2020-07-01 18:30:00,21.8833,62.3133,948.39
2020-07-01 19:00:00,21.09,67.1733,948.36
