"Date","WD_deg","WS_05m","WS_1m","WS_2m","WS_5m","WS_10m"
2020-01-09 00:00:00,109.557,0.192,0.17,0.24,0.166,0.269
2020-01-09 00:10:00,188.213,0.265,0.257,0.367,0.375,0.626
2020-01-09 00:20:00,150.952,0.526,0.588,0.816,0.968,1.206
2020-01-09 00:30:00,196.948,0.306,0.273,0.383,0.374,0.537
2020-01-09 00:40:00,275.081,0.255,0.272,0.329,0.248,0.343
2020-01-09 00:50:00,133.07,0.328,0.358,0.439,0.395,0.528
2020-01-09 01:00:00,162.484,0.216,0.223,0.274,0.203,0.406
2020-01-09 01:10:00,74.688,0.258,0.268,0.363,0.245,0.387
2020-01-09 01:20:00,161.437,0.37,0.372,0.5,0.393,0.438
2020-01-09 01:30:00,183.408,0.354,0.388,0.541,0.617,0.862
2020-01-09 01:40:00,112.919,0.32,0.301,0.484,0.424,0.56
2020-01-09 01:50:00,172.176,0.37,0.371,0.522,0.645,0.823
2020-01-09 02:00:00,231.541,0.36,0.396,0.58,0.614,0.772
2020-01-09 02:10:00,212.625,0.492,0.492,0.703,0.772,0.99
2020-01-09 02:20:00,183.105,0.316,0.376,0.557,0.704,1.014
2020-01-09 02:30:00,153.5,0.53,0.661,0.844,1.154,1.417
2020-01-09 02:40:00,167.833,0.39,0.476,0.704,0.924,1.144
2020-01-09 02:50:00,157.595,0.449,0.531,0.605,0.692,0.868
2020-01-09 03:00:00,126.778,0.348,0.326,0.465,0.437,0.673
2020-01-09 03:10:00,165.608,0.447,0.529,0.733,0.877,1.214
2020-01-09 03:20:00,153.201,0.476,0.561,0.739,0.882,1.121
2020-01-09 03:30:00,125,0.408,0.437,0.582,0.576,0.731
2020-01-09 03:40:00,169.422,0.32,0.33,0.477,0.465,0.751
2020-01-09 03:50:00,169.894,0.705,0.783,1.078,1.373,1.796
2020-01-09 04:00:00,160.848,0.697,0.83,1.06,1.408,1.693
2020-01-09 04:10:00,162.738,0.486,0.564,0.757,1.011,1.366
2020-01-09 04:20:00,155.216,0.464,0.56,0.728,0.951,1.386
2020-01-09 04:30:00,161.071,0.566,0.728,0.931,1.192,1.502
2020-01-09 04:40:00,157.027,0.697,0.815,1.067,1.364,1.653
