"Date","TSoil_2cm_degC","Tsoil_5cm_degC","Tsoil_10cm_degC","Tsoil_20cm_degC","Tsoil_50cm_degC","SoilHeatFlux_Wm2"
2020-03-28 20:50:00,6.764,7.075,6.987,6.587,6.208,-19.846
2020-03-28 21:00:00,6.73,7.066,6.998,6.608,6.214,-19.61
2020-03-28 21:10:00,6.691,7.047,6.982,6.624,6.216,-19.556
2020-03-28 21:20:00,6.645,6.991,6.953,6.614,6.221,-19.641
2020-03-28 21:30:00,6.605,6.938,6.938,6.618,6.224,-19.726
2020-03-28 21:40:00,6.567,6.93,6.914,6.621,6.229,-19.834
2020-03-28 21:50:00,6.534,6.907,6.906,6.634,6.234,-19.948
2020-03-28 22:00:00,6.503,6.863,6.89,6.635,6.239,-20.059
2020-03-28 22:10:00,6.467,6.834,6.878,6.63,6.242,-19.973
2020-03-28 22:20:00,6.445,6.821,6.856,6.642,6.244,-19.64
2020-03-28 22:30:00,6.4,6.774,6.839,6.622,6.251,-18.56
2020-03-28 22:40:00,6.381,6.785,6.842,6.642,6.252,-17.604
2020-03-28 22:50:00,6.359,6.735,6.802,6.648,6.255,-16.362
2020-03-28 23:00:00,6.345,6.696,6.784,6.631,6.266,-15.34
2020-03-28 23:10:00,6.313,6.646,6.775,6.636,6.262,-15.214
2020-03-28 23:20:00,6.324,6.661,6.758,6.641,6.27,-16.341
2020-03-28 23:30:00,6.297,6.641,6.751,6.64,6.273,-17.74
2020-03-28 23:40:00,6.274,6.619,6.727,6.63,6.276,-18.949
2020-03-28 23:50:00,6.254,6.612,6.724,6.634,6.281,-19.728
2020-03-29 00:00:00,6.226,6.588,6.702,6.629,6.287,-19.392
2020-03-29 00:10:00,6.194,6.574,6.687,6.625,6.293,-18.607
2020-03-29 00:20:00,6.171,6.546,6.675,6.627,6.293,-18.641
2020-03-29 00:30:00,6.147,6.534,6.662,6.622,6.298,-19.042
2020-03-29 00:40:00,6.125,6.513,6.649,6.616,6.301,-19.171
2020-03-29 00:50:00,6.103,6.471,6.625,6.608,6.305,-18.648
2020-03-29 01:00:00,6.069,6.454,6.613,6.606,6.311,-17.648
2020-03-29 01:10:00,6.051,6.431,6.594,6.601,6.311,-16.428
2020-03-29 01:20:00,6.027,6.425,6.589,6.597,6.315,-15.338
2020-03-29 01:30:00,6.013,6.414,6.555,6.596,6.325,-14.516
2020-03-29 01:40:00,5.991,6.392,6.552,6.586,6.325,-13.999
2020-03-29 01:50:00,6.012,6.398,6.547,6.594,6.329,-13.708
2020-03-29 02:00:00,6.001,6.37,6.523,6.582,6.333,-13.451
2020-03-29 02:10:00,6.01,6.351,6.526,6.577,6.335,-13.137
2020-03-29 02:20:00,6.002,6.347,6.502,6.581,6.339,-12.843
2020-03-29 02:30:00,6.001,6.331,6.499,6.569,6.344,-12.542
2020-03-29 02:40:00,5.996,6.304,6.477,6.557,6.347,-12.329
2020-03-29 02:50:00,5.972,6.305,6.458,6.555,6.344,-12.382
2020-03-29 03:00:00,5.974,6.292,6.466,6.551,6.355,-12.448
2020-03-29 03:10:00,5.981,6.285,6.448,6.539,6.352,-12.449
2020-03-29 03:20:00,5.98,6.302,6.435,6.536,6.356,-12.364
2020-03-29 03:30:00,5.97,6.274,6.448,6.537,6.36,-12.256
2020-03-29 03:40:00,5.969,6.245,6.414,6.52,6.36,-12.109
2020-03-29 03:50:00,5.959,6.277,6.406,6.523,6.361,-11.939
2020-03-29 04:00:00,5.961,6.263,6.396,6.516,6.362,-11.788
2020-03-29 04:10:00,5.952,6.237,6.395,6.509,6.368,-11.757
2020-03-29 04:20:00,5.946,6.227,6.382,6.502,6.372,-11.557
2020-03-29 04:30:00,5.939,6.223,6.383,6.503,6.38,-11.368
2020-03-29 04:40:00,5.945,6.214,6.379,6.499,6.378,-11.236
2020-03-29 04:50:00,5.924,6.208,6.362,6.48,6.383,-11.22
2020-03-29 05:00:00,5.936,6.191,6.359,6.474,6.382,-11.25
2020-03-29 05:10:00,5.936,6.192,6.346,6.476,6.387,-11.219
2020-03-29 05:20:00,5.921,6.171,6.329,6.469,6.386,-11.061
2020-03-29 05:30:00,5.918,6.19,6.353,6.465,6.385,-10.939
2020-03-29 05:40:00,5.906,6.187,6.327,6.461,6.387,-11.039
2020-03-29 05:50:00,5.901,6.18,6.319,6.46,6.392,-11.133
2020-03-29 06:00:00,5.896,6.163,6.323,6.448,6.398,-11.053
2020-03-29 06:10:00,5.894,6.157,6.329,6.446,6.393,-10.939
2020-03-29 06:20:00,5.892,6.174,6.297,6.443,6.398,-10.946
2020-03-29 06:30:00,5.887,6.155,6.285,6.434,6.398,-10.975
2020-03-29 06:40:00,5.871,6.147,6.291,6.435,6.4,-11.194
2020-03-29 06:50:00,5.881,6.144,6.279,6.438,6.402,-11.179
2020-03-29 07:00:00,5.872,6.133,6.277,6.417,6.403,-11.026
2020-03-29 07:10:00,5.86,6.137,6.261,6.424,6.406,-10.857
2020-03-29 07:20:00,5.86,6.118,6.274,6.416,6.409,-10.606
2020-03-29 07:30:00,5.858,6.115,6.257,6.411,6.408,-10.43
2020-03-29 07:40:00,5.833,6.09,6.259,6.409,6.414,-9.901
2020-03-29 07:50:00,5.826,6.101,6.232,6.402,6.411,-9.276
2020-03-29 08:00:00,5.83,6.086,6.239,6.399,6.412,-8.527
2020-03-29 08:10:00,5.828,6.085,6.247,6.386,6.412,-7.753
2020-03-29 08:20:00,5.833,6.07,6.227,6.389,6.413,-6.573
2020-03-29 08:30:00,5.837,6.056,6.235,6.376,6.415,-4.783
2020-03-29 08:40:00,5.858,6.097,6.22,6.377,6.415,-3.387
2020-03-29 08:50:00,5.868,6.079,6.222,6.375,6.414,-2.599
2020-03-29 09:00:00,5.885,6.085,6.208,6.38,6.414,-1.496
2020-03-29 09:10:00,5.926,6.092,6.221,6.378,6.422,0.271
2020-03-29 09:20:00,5.944,6.086,6.208,6.366,6.42,0.874
2020-03-29 09:30:00,5.964,6.088,6.197,6.364,6.418,0.824
2020-03-29 09:40:00,5.983,6.091,6.204,6.372,6.419,0.11
2020-03-29 09:50:00,6.006,6.127,6.209,6.355,6.42,-0.373
2020-03-29 10:00:00,6.023,6.087,6.203,6.344,6.42,1.041
2020-03-29 10:10:00,6.045,6.13,6.202,6.347,6.422,2.761
2020-03-29 10:20:00,6.053,6.119,6.208,6.342,6.421,4.468
2020-03-29 10:30:00,6.092,6.138,6.213,6.335,6.423,6.055
2020-03-29 10:40:00,6.124,6.147,6.208,6.332,6.418,8.786
2020-03-29 10:50:00,6.152,6.167,6.217,6.335,6.419,10.384
2020-03-29 11:00:00,6.196,6.18,6.215,6.339,6.423,10.265
2020-03-29 11:10:00,6.23,6.211,6.232,6.333,6.424,11.7
2020-03-29 11:20:00,6.267,6.244,6.254,6.341,6.424,14.435
2020-03-29 11:30:00,6.293,6.238,6.257,6.336,6.42,13.461
2020-03-29 11:40:00,6.327,6.234,6.24,6.323,6.421,13.583
2020-03-29 11:50:00,6.359,6.242,6.246,6.329,6.423,11.587
2020-03-29 12:00:00,6.405,6.31,6.258,6.33,6.425,12.121
2020-03-29 12:10:00,6.431,6.305,6.273,6.337,6.42,12.399
2020-03-29 12:20:00,6.458,6.339,6.28,6.331,6.426,10.533
2020-03-29 12:30:00,6.475,6.34,6.307,6.332,6.425,8.594
2020-03-29 12:40:00,6.499,6.386,6.321,6.331,6.426,12.154
2020-03-29 12:50:00,6.522,6.394,6.34,6.342,6.424,14.382
2020-03-29 13:00:00,6.55,6.402,6.339,6.33,6.423,17.633
2020-03-29 13:10:00,6.576,6.432,6.347,6.339,6.427,20.379
2020-03-29 13:20:00,6.62,6.445,6.352,6.337,6.425,22.459
2020-03-29 13:30:00,6.664,6.481,6.361,6.353,6.425,21.941
2020-03-29 13:40:00,6.711,6.509,6.392,6.348,6.428,21.434
2020-03-29 13:50:00,6.739,6.535,6.395,6.351,6.427,21.972
2020-03-29 14:00:00,6.78,6.566,6.406,6.354,6.425,23.52
2020-03-29 14:10:00,6.827,6.593,6.423,6.353,6.424,22.01
2020-03-29 14:20:00,6.842,6.605,6.438,6.36,6.425,18.747
2020-03-29 14:30:00,6.862,6.628,6.463,6.371,6.422,15.206
2020-03-29 14:40:00,6.874,6.66,6.475,6.368,6.429,13.388
2020-03-29 14:50:00,6.873,6.674,6.497,6.381,6.428,11.8
2020-03-29 15:00:00,6.891,6.687,6.501,6.384,6.43,10.045
2020-03-29 15:10:00,6.886,6.709,6.515,6.393,6.431,10.79
2020-03-29 15:20:00,6.891,6.733,6.536,6.386,6.435,9.866
2020-03-29 15:30:00,6.885,6.734,6.551,6.405,6.43,11.587
2020-03-29 15:40:00,6.892,6.741,6.571,6.4,6.429,13.62
2020-03-29 15:50:00,6.903,6.763,6.575,6.418,6.429,11.998
2020-03-29 16:00:00,6.897,6.75,6.588,6.422,6.434,9.653
2020-03-29 16:10:00,6.903,6.784,6.606,6.435,6.43,7.166
2020-03-29 16:20:00,6.886,6.783,6.613,6.442,6.433,3.811
2020-03-29 16:30:00,6.856,6.796,6.635,6.458,6.437,0.656
2020-03-29 16:40:00,6.827,6.806,6.642,6.453,6.433,-1.582
2020-03-29 16:50:00,6.792,6.778,6.651,6.459,6.435,-2.727
2020-03-29 17:00:00,6.762,6.78,6.65,6.466,6.435,-3.479
2020-03-29 17:10:00,6.733,6.782,6.67,6.469,6.437,-4.49
2020-03-29 17:20:00,6.693,6.756,6.667,6.486,6.441,-12.068
2020-03-29 17:30:00,6.653,6.76,6.663,6.487,6.439,-16.598
2020-03-29 17:40:00,6.601,6.746,6.664,6.494,6.445,-15.063
2020-03-29 17:50:00,6.559,6.735,6.67,6.504,6.441,-13.477
2020-03-29 18:00:00,6.52,6.723,6.682,6.502,6.442,-13.344
2020-03-29 18:10:00,6.495,6.691,6.663,6.498,6.44,-14.426
2020-03-29 18:20:00,6.435,6.69,6.658,6.522,6.443,-15.279
2020-03-29 18:30:00,6.397,6.684,6.643,6.515,6.445,-15.772
2020-03-29 18:40:00,6.355,6.64,6.666,6.53,6.445,-16.127
2020-03-29 18:50:00,6.325,6.616,6.629,6.526,6.45,-16.509
2020-03-29 19:00:00,6.306,6.62,6.653,6.538,6.451,-16.929
2020-03-29 19:10:00,6.271,6.602,6.632,6.543,6.451,-17.727
2020-03-29 19:20:00,6.223,6.578,6.631,6.537,6.452,-18.806
2020-03-29 19:30:00,6.18,6.527,6.602,6.541,6.449,-19.35
2020-03-29 19:40:00,6.165,6.523,6.601,6.559,6.455,-19.479
2020-03-29 19:50:00,6.13,6.508,6.603,6.553,6.456,-19.625
2020-03-29 20:00:00,6.066,6.455,6.58,6.547,6.458,-20.675
2020-03-29 20:10:00,6.034,6.438,6.563,6.544,6.457,-22.413
2020-03-29 20:20:00,6.007,6.404,6.551,6.56,6.461,-23.598
2020-03-29 20:30:00,5.939,6.387,6.538,6.543,6.462,-24.243
2020-03-29 20:40:00,5.904,6.36,6.527,6.54,6.463,-24.983
2020-03-29 20:50:00,5.858,6.337,6.504,6.55,6.46,-25.202
2020-03-29 21:00:00,5.815,6.3,6.496,6.551,6.463,-25.075
2020-03-29 21:10:00,5.775,6.281,6.477,6.538,6.466,-24.919
2020-03-29 21:20:00,5.732,6.257,6.458,6.523,6.467,-25.153
2020-03-29 21:30:00,5.684,6.248,6.451,6.546,6.471,-26.056
2020-03-29 21:40:00,5.657,6.214,6.421,6.534,6.472,-26.876
2020-03-29 21:50:00,5.604,6.169,6.403,6.527,6.473,-27.416
2020-03-29 22:00:00,5.546,6.141,6.375,6.521,6.476,-28.211
2020-03-29 22:10:00,5.498,6.096,6.366,6.513,6.474,-28.904
2020-03-29 22:20:00,5.445,6.093,6.353,6.505,6.475,-29.57
2020-03-29 22:30:00,5.383,6.051,6.333,6.501,6.48,-30.472
2020-03-29 22:40:00,5.324,6.016,6.309,6.489,6.481,-31.256
2020-03-29 22:50:00,5.257,5.997,6.284,6.49,6.484,-32.142
2020-03-29 23:00:00,5.202,5.944,6.263,6.488,6.489,-33.009
2020-03-29 23:10:00,5.126,5.913,6.233,6.477,6.483,-33.938
2020-03-29 23:20:00,5.054,5.858,6.224,6.476,6.49,-34.805
2020-03-29 23:30:00,4.992,5.815,6.193,6.476,6.492,-35.523
2020-03-29 23:40:00,4.926,5.788,6.176,6.464,6.491,-36.145
2020-03-29 23:50:00,4.85,5.741,6.137,6.449,6.489,-36.758
2020-03-30 00:00:00,4.789,5.695,6.121,6.435,6.495,-37.112
2020-03-30 00:10:00,4.714,5.667,6.072,6.446,6.494,-37.602
2020-03-30 00:20:00,4.659,5.614,6.059,6.422,6.495,-37.905
2020-03-30 00:30:00,4.586,5.571,6.031,6.417,6.497,-38.077
2020-03-30 00:40:00,4.54,5.552,6,6.397,6.498,-38.358
2020-03-30 00:50:00,4.48,5.49,5.988,6.393,6.497,-38.746
2020-03-30 01:00:00,4.416,5.448,5.959,6.383,6.503,-39.075
2020-03-30 01:10:00,4.361,5.388,5.924,6.372,6.501,-39.303
2020-03-30 01:20:00,4.321,5.357,5.899,6.359,6.502,-39.425
2020-03-30 01:30:00,4.248,5.29,5.848,6.346,6.504,-39.628
2020-03-30 01:40:00,4.187,5.25,5.826,6.319,6.506,-40.015
2020-03-30 01:50:00,4.125,5.209,5.81,6.315,6.502,-40.275
2020-03-30 02:00:00,4.081,5.18,5.758,6.302,6.507,-40.512
2020-03-30 02:10:00,4.034,5.145,5.731,6.3,6.507,-40.632
2020-03-30 02:20:00,3.984,5.112,5.732,6.288,6.509,-40.674
2020-03-30 02:30:00,3.955,5.073,5.684,6.283,6.508,-40.801
2020-03-30 02:40:00,3.895,5.025,5.655,6.266,6.51,-40.994
2020-03-30 02:50:00,3.86,4.981,5.607,6.238,6.51,-41.176
2020-03-30 03:00:00,3.796,4.913,5.572,6.214,6.504,-41.288
